company_name,description,location,salary
Yavda Analytics Pvt. Ltd.,"Enable client business make a better data-driven decision by developing awesome, insightful reports/dashboards.,Tableau is great. but not enough.","Hyderabad, Telangana","₹4,00,000 - ₹12,00,000 a year"
KPEC Engineers Pvt. Ltd.,"4.To develop upgrade and maintain API using django rest framework.,Work on the internet of things (IoT).,Work on interfacing with database management system …","Mumbai, Maharashtra","₹5,000 - ₹9,000 a month"
,"Should be able to translate business requirements into high level design, detail technical design and implementation.,5 to 8 years of overall IT Experience.","Mumbai, Maharashtra",
Gloify,Freshers to 2 years of experience in PHP framework.,"Bengaluru, Karnataka","₹5,00,000 a year"
,"Graduated from an engineering school or equivalent Bac + 5 in computer science, you have at least 4 years of experience and you want to join an ambitious and…","Mumbai, Maharashtra",
Humworld Solutions Private Limited,"Should be an individual contributor to work on any phase of the SDLC life cycle.,Strong research skills to create innovative ideas in the project.","Chennai, Tamil Nadu","₹3,00,000 - ₹3,25,000 a year"
AMAGI,"Passion for product quality and attention to details.,Creative with excellent problem solving and analytical skills.,Participation in open-source projects.","Bengaluru, Karnataka","₹6,36,000 - ₹7,20,000 a year"
Nyuvill Innovations,"Minimum Skill/Knowledge about Server setup(any server).,Minimum Skill/Knowledge about Webpage Applications.,Minimum Skill/Knowledge about Javascript coding.","Bengaluru, Karnataka","₹1,10,000 - ₹1,40,000 a year"
,"Determines systems , design requirements.,Generates systems , engineering policies, standards and procedures.","Mumbai, Maharashtra",
Qrio Technologies Pvt. Ltd.,"Have knowledge about BLE, Wifi, and Sub-GHz RF communication protocols.,Embedded ,: 1 year (Required).,Part-time hours: 30 per week.","Bengaluru, Karnataka","₹20,000 - ₹50,000 a month"
,"As the Virtualization Squad ,, you will be responsible for developing application development solutions for VMs and containerized applications both side…","Bengaluru, Karnataka",
Mobavenue Media Pvt Ltd,"Able to create website layout/user interface by using standard HTML/CSS practices.,Knowledge in WordPress theme development experience from Photoshop design…","Mumbai, Maharashtra","₹18,000 - ₹20,000 a month"
"ValueFin India Credit Services Private Ltd, Mumbai","Passion for best design and coding practices and a desire to develop new bold ideas.,Responsible for managing back-end services and the interchange of data…","Mumbai, Maharashtra","₹20,000 - ₹30,000 a month"
,"A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and…","Bengaluru, Karnataka",
ARHAMSHARE CONSULTANTS PVT LTD,"Troubleshoot and test core product , to ensure strong optimization.,Contribute to all phases of the development lifecycle.","Surat, Gujarat","₹10,000 - ₹50,000 a month"
Three Meadows Software Private Limited,"2 to 6 years of experience.,Good programming skills in C/C++ with data structure, multithreading inter-process communication.,Good understanding of OS concepts.","Bengaluru, Karnataka","₹6,00,000 - ₹25,00,000 a year"
," Total 3 to 6 years of experience in , quality assurance., Perform quality assurance and give the final approval / sign off for each project delivery…","Mumbai, Maharashtra","₹5,00,000 - ₹9,00,000 a year"
,The role also requires strong understanding of the data and expertise of using the programmatic languages and tools to process/capture the data.,"Pune, Maharashtra",
[x] Cube LABS,"Taking ownership of modules, and building the foundation of new systems which are in line with improved quality, process & productivity.","Hyderabad, Telangana","₹30,000 - ₹70,000 a month"
,"Software , at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…","Bengaluru, Karnataka",
Techbizbuzz Technologies LLP,"Candidate should have certification in required technologies and languages.,Candidate should be comfortable in English,Hindi and Marathi.","Virar, Maharashtra","₹5,000 a month"
Sundigital Group,"Software development: 1 year (Preferred).,We require good MYSQL Experience and SQL experience candidate with good communication skill.","Mumbai, Maharashtra","₹12,637 - ₹58,201 a month"
U GRO CAPITAL,U GRO aims to build an institutionally backed SME financing platform basis deep sectoral knowledge and cutting-edge technology.,"Mumbai, Maharashtra",
AR consultant,"Prepare or modify the low-level design document, impact analysis document based on the requirement changes.,*SE - Exp -2 to 3 yrs - 9.5 LPA *.",,"₹12,00,000 a year"
,"The Microsoft Solutions team is looking for an experienced content , to plan and create compelling content experiences to help business and technical…","Bengaluru, Karnataka",
,"This is an excellent opportunity for anyone who has, or wants to build, expertise in cloud distributed systems, or in security and compliance, or both.","Hyderabad, Telangana",
,"Demonstrate the ability to develop efficient and high quality software.,Knowledge of , configuration management and change management practices.","Mumbai, Maharashtra",
,"A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and…","Bengaluru, Karnataka",
Client of ICG,"Java backend , and senior , in Microservice, Spring-boot, AWS and SQS.","Bengaluru, Karnataka","₹14,00,000 a year"
,"Plans, designs, develops and tests , systems or applications for , enhancements and new products including cloudbased or internetrelated tools.","Bengaluru, Karnataka",
Winning Edge Learning Pvt. Ltd,"Job Responsibilities: *Development, testing and maintenance of applications in .,Maintaining all relevant documentation for the assigned module(s).","Amritsar, Punjab","₹2,40,000 - ₹3,00,000 a year"
,"You will have an opportunity for direct impact on design, functionality, security, performance, scalability, manageability, and supportability of the Azure SQL…","Bengaluru, Karnataka",
Jupsoft Technologies Pvt.Ltd.,"And experienced on 3 Tier Architecture.,ASP.NET, SQL Server, JQuery, Java Script, Web API, WCF, C#, Web Application, Crystal Report.","Noida, Uttar Pradesh","₹10,000 a month"
Saras Webtech,"Research and remain informed of new technology and development tools.,Participate in code reviews in accordance with program specifications and coding standards…","Navi Mumbai, Maharashtra","₹12,000 a month"
AVS in-so-Tech Private Limited,"Designing database tables and structures Creating views, functions and stored procedures Writing optimized SQL queries for integration with other applications…","Navi Mumbai, Maharashtra","₹20,000 - ₹60,000 a month"
,Using internal Data Science platform that leverage proprietary and open source software/tools to ensure that models are developed in accordance with SDLC…,"Mumbai, Maharashtra",
Meridian Solutions Inc,"Familiarity with RESTful APIs to connect Android applications to back-end services.,Translate designs and wireframes into high quality code.","Calicut, Kerala","₹8,000 a month"
Upstox,"Assesses feedback and applies industry- or internal-best practices to solve technical or cognitive problems.,Pursuing a bachelor's degree or master's degree in…","Mumbai, Maharashtra",
,"Should have good working knowledge of SQL queries and Stored procedures.,Should be proficient in working with technologies like: Java, J2EE, SQL2005, SQL2008,…","Mumbai, Maharashtra","₹4,00,000 - ₹8,00,000 a year"
Investronaut,"Create and maintain digital assets, such as interface design files, wireframes, and interactive mockups using {{ design and prototyping tools: e.g., Sketch and…","Pune, Maharashtra","₹15,000 - ₹40,000 a month"
Awarebase Technology (P) Ltd.,"Net* OR *AngularJS*] and *C# *with good logical ability.,Training period is of *6 Months* max [which can be reduced on the basis of your performance].","Noida, Uttar Pradesh","₹1,80,000 - ₹2,50,000 a year"
,"A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and…","Bengaluru, Karnataka",
Vikgol,"Integrate user-facing elements developed by front-end , with server-side logic.,Design and implement low-latency, high-availability, and performance…","Bengaluru, Karnataka","₹6,00,000 - ₹8,00,000 a year"
,"Hands-on experience and expert level knowledge in C++ is a must.,Understanding of the dynamics of introducing distributed energy resources into electric grid…","Bengaluru, Karnataka",
,"Linux, shell scripting, Java and Oracle as skillset ITIL Certified preferred Working knowledge of ITRS, Autosys, App dynamics, ServiceNow, UDeploy Should be…","Pune, Maharashtra",
"HireKhan, Inc","Job Types: Full-time, Contract.","Mumbai, Maharashtra","₹40,000 - ₹50,000 a month"
Zedex Info Pvt Ltd,Work with business users to gather functional requirements • Develop interactive client-side applications and functionality across web sites using modern…,"Mumbai, Maharashtra","₹3,00,000 - ₹4,00,000 a year"
Stamp'it Robotai & Solutions pvt ltd,"Analyzing information to recommend and plan the installation of new systems or modifications of an existing system.,Job Types: Full-time, Regular / Permanent.","Thane, Maharashtra","₹18,000 - ₹20,000 a month"
,"Good Working knowledge OO design and programming skills and ability to Understand design principles & patterns is a must.,NET framework is a must.","Bengaluru, Karnataka",
,"The team is cross-functional and includes product management and design, finance business partner, data scientist and cloud architects.","Pune, Maharashtra",
,"Willing to work on end to end implementation project.,Leading or participating in the design and architecture sessions with the clients, gathering and…","Mumbai, Maharashtra",
Adisols Technologies Private Limited,"Exclusive training will be provided by our team of Senior , and Architects who possess great experience in a wide array of industries that use…","Hyderabad, Telangana","₹3,00,000 a year"
,"Provides support for projects by completing tasks for back-end/front-end applications, associated integration, and required test harnesses based on design.","Bengaluru, Karnataka",
Meridian Solutions Inc,"Familiarity with RESTful APIs to connect Android applications to back-end services.,Translate designs and wireframes into high quality code.","Calicut, Kerala","₹8,000 a month"
,Contributing to downstream business activities such as technical publications and other technical communications’ tool development to ensure streamlined and…,"Hyderabad, Telangana",
Key Concepts Tech LLP,"*Familiarity with remote desktop applications and help desk , (eg. Zendesk).*.,Technical support: 3 years (Preferred).",,"₹10,521 - ₹30,000 a month"
Mystro,"Should have handled complex backend application projects with end to end experience from application inception, development and deployment.","Mumbai, Maharashtra","₹30,000 a month"
,"A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and…","Bengaluru, Karnataka",
,"As a member of a project team, follows standard practices and procedures to analyze situations/data and provide quality work products to deliver functional and…","Bengaluru, Karnataka",
aezion inc,Responsible for day-to-day support and maintenance of applications as assigned and interfaces partnering with vendors to ensure quality services.,"Hyderabad, Telangana","₹30,000 - ₹50,000 a month"
MudraCircle.com,"Strong background in , engineering and design with an ability to architect reusable and modular code and adhere to modern design patterns.","Mumbai, Maharashtra","₹5,000 - ₹15,000 a month"
Infovie Software Solutions Pvt. Ltd.,"To design, develop and implement , applications and systems based on users needs.,Adhere to quality process ‣ update the defect logs, test scripts, and…","Pune, Maharashtra","₹60,000 a month"
Techno-Comp computer services pvt ltd,"Building and maintaining web applications.,Assessing the efficiency and speed of current applications.,Researching, designing, implementing, and managing…","Hyderabad, Telangana","₹35,00,000 a year"
Revolo Infotech,"At least 1-2 years experience using wordpress, WooCommerce and other relevant plugins.,Work closely with web , and clients to ensure your designs are…","Thane, Maharashtra","₹15,000 - ₹30,000 a month"
